"Name","NumberValue","BooleanValue","TextValue","NumberArray","StringArray","AltStringArray"
"String","int","boolean","string","int","String","String"
"TOS_URL",,,"https://supercell.com/en/terms-of-service/",,,
"PRIVACY_POLICY_URL_JP",,,"https://supercell.com/en/privacy-policy/jp/",,,
"TOS_URL_JP",,,"https://supercell.com/en/terms-of-service/jp/",,,
"PRIVACY_POLICY_URL_KR",,,"https://supercell.com/en/privacy-policy/ko/",,,
"TOS_URL_KR",,,"https://supercell.com/en/terms-of-service/ko/",,,
"HELP_CENTER_LANGUAGES",,,,,"EN","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=en"
,,,,,"DE","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=de"
,,,,,"IT","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=it"
,,,,,"FR","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=fr"
,,,,,"ES","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=es"
,,,,,"PT","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=pt"
,,,,,"NL","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=nl"
,,,,,"CN","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=zh"
,,,,,"JP","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=ja"
,,,,,"KR","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=ko"
,,,,,"TR","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=tr"
,,,,,"NO","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=no"
,,,,,"RU","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=ru"
,,,,,"CNT","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=zh-hant"
,,,,,"ID","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=id"
,,,,,"MS","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=ms"
,,,,,"VI","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=vi"
,,,,,"TH","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=th"
,,,,,"AR","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=ar"
,,,,,"FA","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=fa"
,,,,,"FI","https://supercell.helpshift.com/a/clash-of-clans/?p=ios&l=fi"
"HELP_CENTER_LANGUAGES_ANDROID",,,,,"EN","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=en"
,,,,,"DE","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=de"
,,,,,"IT","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=it"
,,,,,"FR","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=fr"
,,,,,"ES","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=es"
,,,,,"PT","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=pt"
,,,,,"NL","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=nl"
,,,,,"CN","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=zh"
,,,,,"JP","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=ja"
,,,,,"KR","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=ko"
,,,,,"TR","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=tr"
,,,,,"NO","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=no"
,,,,,"RU","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=ru"
,,,,,"CNT","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=zh-hant"
,,,,,"ID","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=id"
,,,,,"MS","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=ms"
,,,,,"VI","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=vi"
,,,,,"TH","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=th"
,,,,,"AR","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=ar"
,,,,,"FA","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=fa"
,,,,,"FI","https://supercell.helpshift.com/a/clash-of-clans/?p=android&l=fi"
"HELPCENTER_CONTACT",,,"contact=1",,,
"PRIVACY_POLICY_URL",,,"https://www.supercell.com/privacy-policy",,,
"APP_RATE_XP_LEVEL",11,,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_SMALL",48,,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_MEDIUM",120,,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_LARGE",336,,,,,
"GAMECENTER_REAUTHORIZE",,"FALSE",,,,
"BILLING_PACK_NAMES_FROM_CSV",,"FALSE",,,,
"MEDIUM_GFX_DEVICES",,,,,,
"LOW_GFX_DEVICES",,,,,"iPad2,",
"IOS_HIGH_MEMORY_LIMIT",1000,,,,,
"IOS_MEDIUM_MEMORY_LIMIT",600,,,,,
"DROID_SANS_FALLBACK_ON_LOW_MEM_DEVICES",,"TRUE",,,,
"GOOGLE_SERVICE_ACHIEVEMENTS_BUTTON",,"TRUE",,,,
"ASH_CNT",250,,,,,
"ASH_CNT_LOW",120,,,,,
"ASH_CNT_COMBAT",40,,,,,
"ASH_CNT_COMBAT_LOW",0,,,,,
"SNOWFLAKE_CNT",0,,,,,
"SNOWFLAKE_CNT_LOW",0,,,,,
"SNOWFLAKE_CNT_COMBAT",0,,,,,
"SNOWFLAKE_CNT_COMBAT_LOW",0,,,,,
"PARTNER_AFTER_LOGIN",,"TRUE",,,,
"LOAD_DROID_SANS_FALLBACK_MANUALLY",,"TRUE",,,,
"LOAD_DROID_SANS_FALLBACK_MANUALLY_ANDROID",,"FALSE",,,,
"ANDROID_LOW_GFX_DEVICES",,,,,"SM-G531F",
,,,,,"E210K",
,,,,,"E210L",
,,,,,"E210S",
,,,,,"G3812B",
,,,,,"G530DS",
,,,,,"G530F",
,,,,,"G530FZ",
,,,,,"G530H",
,,,,,"G530Y",
,,,,,"G730A",
,,,,,"G730W8",
,,,,,"GH-T999",
,,,,,"GT-i8190N",
,,,,,"GT-I9300RWI",
,,,,,"GT-N7000",
,,,,,"I535",
,,,,,"I747",
,,,,,"i8190",
,,,,,"i8200",
,,,,,"i9300",
,,,,,"I9300I",
,,,,,"i9301",
,,,,,"I9303",
,,,,,"i9305",
,,,,,"I9308",
,,,,,"I939",
,,,,,"L710",
,,,,,"M440S",
,,,,,"P3210",
,,,,,"R530U",
,,,,,"S968C",
,,,,,"SC-03E",
,,,,,"SC-06D",
,,,,,"SCH-I535",
,,,,,"SCH-J021",
,,,,,"SCH-R530",
,,,,,"SCH-S960L",
,,,,,"SGH-1747",
,,,,,"SGH-I747",
,,,,,"SGH-I747M",
,,,,,"SGH-N035",
,,,,,"SGH-N064",
,,,,,"SM - G955U",
,,,,,"SM-G361F",
,,,,,"SM-G388F",
,,,,,"SM-G531",
,,,,,"SM-G531F",
,,,,,"SM-J110F",
,,,,,"SM-J110G",
,,,,,"SM-J110L",
,,,,,"SM-J110M",
,,,,,"SM-J111F",
,,,,,"SM-J710FN",
,,,,,"SM-T211",
,,,,,"SM-T585",
,,,,,"SPH-L710",
,,,,,"SPH-L710T",
,,,,,"T210",
,,,,,"T999",
,,,,,"U8950",
,,,,,"KFMUWI",
"ANDROID_HIGH_MEMORY_LIMIT",950,,,,,
"ANDROID_MEDIUM_MEMORY_LIMIT",825,,,,,
"SEND_EVENTS_TO_FB",,"FALSE",,,,
"SEND_EVENTS_TO_TAPJOY",,"TRUE",,,,
"SEND_EVENTS_TO_ADCOLONY",,"FALSE",,,,
"SEND_EVENTS_TO_INMOBI",,"TRUE",,,,
"SEND_EVENTS_TO_MOBILE_APP_TRACKER",,"TRUE",,,,
"LIVE_REPLAY_PRESIMULATE_MAX_SUBTICKS_PER_FRAME",120,,,,,
"LIVE_REPLAY_PRESIMULATE_MAX_SUBTICKS_TOTAL",14400,,,,,
"WAR_COOLDOWN_MAX_DISPLAY_TIME",86400,,,,,
"INITIAL_ZOOM_TABLET",90,,,,,
"INITIAL_ZOOM_PHONE_WIDESCREEN",100,,,,,
"INITIAL_ZOOM_PHONE",100,,,,,
"MAX_WAR_TROOP_MESSAGE_LENGTH",40,,,,,
"DISCONNECT_IF_NETWORK_UNREACHABLE",,"FALSE",,,,
"NETWORK_UNREACHABLE_TIMEOUT",30,,,,,
"CLOSE_EXIT_CONFIRMATION_ON_BACK_KEY",,"TRUE",,,,
"LOADING_ANIM_DISPLAY_DELAY",1000,,,,,
"SHOW_GEM_BALANCE_IN_JP",,"TRUE",,,,
"LIVE_REPLAY_SPEEDUP_TO_CATCHUP_TO_LIVE_FEED",,"FALSE",,,,
"POWER_SAVE_MODE_LESS_ENDTURN_MESSAGES",,"TRUE",,,,
"WALL_ANIMATE_CYCLE",45,,,,,
"WALL_ANIMATE_CYCLE_LOW_END",90,,,,,
"USE_CLOUDS_FOR_WAR_TRANSITION",,"FALSE",,,,
"WAR_MAP_SHOW_STARS_IN_REAL_TIME",,"TRUE",,,,
"ENABLE_KR_CALL_CENTER",,"TRUE",,,,
"ENABLE_ALLIANCE_WARS",,"TRUE",,,,
"ENABLE_OLD_WARS",,"TRUE",,,,
"ENABLE_WAR_HISTORY_MENU",,"TRUE",,,,
"ENABLE_WAR_STREAM",,"TRUE",,,,
"GOOGLE_SERVICE_ACHIEVEMENTS",,"TRUE",,,,
"GOOGLE_SERVICE_REAUTHORIZE",,,,,,
"GOOGLE_SERVICE_POPUP_AFTER_FIRST_PURCHASE",,"TRUE",,,,
"GOOGLE_SERVICE_POPUP_AFTER_TOWN_HALL_LEVEL",3,,,,,
"GOOGLE_SERVICE_POPUP_SHOW_AFTER_EACH_TOWNHALL",,"TRUE",,,,
"ENABLE_CHAT_IN_VISIT",,"TRUE",,,,
"ENABLE_CHAT_IN_CLOUDS",,"TRUE",,,,
"ENABLE_CHAT_IN_REPLAY",,"TRUE",,,,
"CLOUD_CHAT_TIME_LIMIT_SECONDS",4,,,,,
"CLOUD_CHAT_TROPHY_LIMIT",3600,,,,,
"CLOUD_CHAT_TROPHY_LIMIT_V2",2000,,,,,
"USE_LOWRES_INGAME_ASSETS_IN_MEDIUM",,"TRUE",,,,
"CLOSE_TROOP_TRAINING_IN_TUTORIAL",,"FALSE",,,,
"RECOVER_EDIT_MODE_SESSION",,"TRUE",,,,
"IN_APP_RETRY_LIMIT",4,,,,,
"SHOW_BUBBLE_ICON_ON_BROKEN_TRAPS",,"FALSE",,,,
"DISCONNECT_IN_APPS",,"FALSE",,,,
"RETRY_PURCHASES_IN_SHOP",,"TRUE",,,,
"RECONNECT_AFTER_SLEEPING_SECONDS",180,,,,,
"SHOW_GEMS_PURCHASE_BUTTON_DURING_TUTORIAL",,"FALSE",,,,
"VILLAGE_EDIT_MODE_MINIMUM_TH_LEVEL",2,,,,,
"CONTENT_UPDATE_HASH_CHECK",,"TRUE",,,,
"SEND_PERFORMANCE_EVENTS",,"FALSE",,,,
"SEND_PERFORMANCE_EVENTS_ANDROID",,"FALSE",,,,
"PERFORMANCE_EVENTS_INTERVAL_SECONDS",99999,,,,,
"PERFORMANCE_EVENTS_INTERVAL_SECONDS_ANDROID",60,,,,,
"HARD_BIND_TOWN_HALL_LEVEL",4,,,,,
"SCALE_UNIT_UI_IN_BATTLE",,"TRUE",,,,
"USE_DEVICE_LINK",,"FALSE",,,,
"DISABLE_MASK_FROM_EMPTY_INPUT_FIELD",,"TRUE",,,,
"HIDE_ISO_ENGINE_IN_BIG_POPUPS",,"TRUE",,,,
"HIGE_ISO_ENGINE_UNDER_CHAT",,"TRUE",,,,
"HIDE_ISO_ENGINE_IN_SHOP",,"TRUE",,,,
"CONFIRM_WORD_MAX_LENGTH",15,,,,,
"HUD_PRINT_TIME",6,,,,,
"HUD_PRINT_TIME_LONG",30,,,,,
"PAYMENT_LIMIT_CONFIRMATION_ENABLED",,"TRUE",,,,
"PAYMENT_LIMIT_CONFIRMATION_USD",15000,,,,,
"PAYMENT_LIMIT_CONFIRMATION_TIME",15,,,,,
"SHOW_DONATION_STATS_FOR_ALL_CLANS",,"TRUE",,,,
"USE_NEW_LOADING_BAR_LOGIC",,"FALSE",,,,
"HIGH_SCORE_EMPTY_LINES",,,,10,,
,,,,50,,
,,,,100,,
,,,,150,,
,,,,200,,
"SHOW_IAP_NOTIFICATION_POPUP",,"TRUE",,,,
"SEND_ONLY_INSTALL_EVENTS_TO_APP_TRACKER",,"FALSE",,,,
"DEFAULT_TO_LOCAL_HIGHSCORES",,"FALSE",,,,
"ENABLE_LOCAL_RANKINGS",,"TRUE",,,,
"DEFAULT_TO_LOCAL_CLAN_HIGHSCORES",,"FALSE",,,,
"ENABLE_LOCAL_CLAN_RANKINGS",,"TRUE",,,,
"USE_ARMY_READY_NOTIFICATION",,"TRUE",,,,
"USE_SPELLS_READY_NOTIFICATION",,"TRUE",,,,
"USE_LABORATORY_UPGRADE_READY_NOTIFICATION",,"TRUE",,,,
"USE_WALL_MOVE_TOOL",,"TRUE",,,,
"USE_HERO_HEALTH_FULL_NOTIFICATION",,"FALSE",,,,
"LOW_END_WALL_CORNERS",,"TRUE",,,,
"REPEAT_ATTACK_INSTRUCTION_TIME",5,,,,,
"SWITCH_CONFIRMATION_XP_LEVEL",7,,,,,
"DISABLE_ANIMATOR_RESET",,"FALSE",,,,
"BUFFER_SERVER_COMMANDS",,"TRUE",,,,
"NO_MONEY_COLOR_RED",255,,,,,
"NO_MONEY_COLOR_GREEN",123,,,,,
"NO_MONEY_COLOR_BLUE",114,,,,,
"ACHIEVEMENTS_ENABLED",,"TRUE",,,,
"GAME_CENTER_ACHIEVEMENTS_ENABLED",,"TRUE",,,,
"GAME_CENTER_CHALLENGES_ENABLED",,"TRUE",,,,
"MAX_ALLIANCE_SEARCH_TROPHIES",50000,,,,,
"RED_CAMPAIGN_ENABLED",,"FALSE",,,,
"SHOW_NEWS_INDICATOR_XP_LIMIT",10,,,,,
"SEND_GC_ACHIEVEMENT_0_PROGRESS",,"FALSE",,,,
"USE_GC_SEND_ALL_ACHIEVEMENTS",,"TRUE",,,,
"SEND_GC_ACHIEVEMENT_PROGRESS_ONCE",,"TRUE",,,,
"HELPSHIFT_ENABLED",,"TRUE",,,,
"DISABLE_HELPSHIFT_CONTACT_US_FROM_NON_PAYING",,"TRUE",,,,
"DISABLE_STARTUP_CONSTANT_CONNECTION_FIX",,"FALSE",,,,
"HERO_HEALTH_WARNING_LEVEL",40,,,,,
"KEEPALIVE_INTERVAL_SECONDS",5,,,,,
"DISCONNECT_IF_KEEPALIVE_IS_BEHIND",,"FALSE",,,,
"KEEPALIVE_TIMEOUT",30,,,,,
"KEEPALIVE_SHOW_WARNING_AFTER_SECONDS",10,,,,,
"USE_RTT_FOR_THUMBNAILS",,"TRUE",,,,
"USE_DEFAULT_USER_NAME",,"FALSE",,,,
"PARENTS_GUIDE_URL",,,"https://www.supercell.com/parents",,,
"PARENTS_GUIDE_URL_KUNLUN",,,"https://supercell.com/en/parents/cn/",,,
"SHOW_VILLAGE_THUMBNAIL_ON_PROFILE",,"TRUE",,,,
"ONLY_SHOW_WAR_PREFERENCE_IN_CLAN_LIST",,"TRUE",,,,
"CLAN_BADGE_SCROLLER_SNAP_AGRESSIVENESS",200,,,,,
"SHOW_SUPPORT_TARGETING_ICON",,"FALSE",,,,
"ENABLE_SC_CACHING",,"TRUE",,,,
"ENABLE_SC_CACHE_LOADING",,"TRUE",,,,
"SC_CACHE_FREE_SPACE_LIMIT",600,,,,,
"LOW_RES_SC_CACHE_FREE_SPACE_LIMIT",200,,,,,
